"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Power Distribution System Planning for Mitigating Overheating Risk Inequity","L. Rodriguez-Garcia; M. Heleno; M. Parvania","Department of Electrical and Computer Engineering, University of Utah, Salt Lake City, UT, USA; Lawrence Berkeley National Laboratory, Berkeley, CA, USA; Department of Electrical and Computer Engineering, University of Utah, Salt Lake City, UT, USA",IEEE Transactions on Power Systems,"8 Jan 2025","2025","40","1","920","932","Extreme heat events are increasingly impacting the operation of power distribution systems, causing overloads due to excessive use of air conditioning systems, forcing power utilities to take measures to avoid large-scale blackouts in a bulk transmission system, including rotating outages. However, these power outages expose communities to overheating risk as air conditioning ceases operation, which is inequitably distributed and affects vulnerable communities mainly. This paper proposes a framework to quantify and mitigate the outage-induced overheating risk during a heat wave, which corresponds to the overheating that can be avoided by utility action. The framework features a metric that captures the impact of power outages during heat waves on individual buildings, which is aggregated to derive system-level metrics to assess the resilience of a distribution grid. This metric is integrated into a distribution planning model to drive decisions on distribution grid investments in an equity-informed manner. The framework is evaluated in modified IEEE 33-node and 123-node test systems, where the ability of the framework to capture and equitably allocate distributed resources is validated, paving the way for regulatory frameworks that account for social equity impact in the power sector.","1558-0679","","10.1109/TPWRS.2024.3418651","U.S. Department of Energy(grant numbers:DE-AC02-05CH11231); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10570202","Distributed energy resources;energy justice;power distribution planning;resource adequacy;rotating outages","Heating systems;Buildings;Planning;Power distribution;Measurement;Investment;Energy storage","","12","","43","IEEE","24 Jun 2024","Jan. 2025","","IEEE","IEEE Journals"
"Power distribution system planning with reliability modeling and optimization","Y. Tang","Siemens Power Corporation, Roswell, GA, USA",IEEE Transactions on Power Systems,"6 Aug 2002","1996","11","1","181","189","A new approach for the systemized optimization of power distribution systems is presented in this paper. Distribution system reliability is modelled in the optimization objective function via outage costs and costs of switching devices, along with the nonlinear costs of investment, maintenance and energy losses of both the substations and the feeders. The optimization model established is multi-stage, mixed-integer and nonlinear, which is solved by a network-flow programming algorithm. A multi-stage interlacing strategy and a nonlinearity iteration method are also designed. Supported by an extensive database, the planning software tool has been applied to optimize the power distribution system of a developing city.","1558-0679","","10.1109/59.486711","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=486711","","Power system reliability;Power distribution;Power system planning;Power system modeling;Cost function;Investments;Maintenance;Energy loss;Substations;Design methodology","","104","1","16","IEEE","6 Aug 2002","Feb. 1996","","IEEE","IEEE Journals"
"Differentiated Reliability-Based Regional Distribution Network Planning With Probability Characteristics of PV and Load","Z. Liu; H. Liu; Z. Xu; R. Li; Y. Guo; Y. Du","School of Electrical and Information Engineering, Tianjin University, Tianjin, China; School of Electrical and Information Engineering, Tianjin University, Tianjin, China; School of Electrical and Information Engineering, Tianjin University, Tianjin, China; Henan Zhongyuan Energy Construction Engineering Company Ltd, Henan, China; State Grid Economic and Technological Research Institute, Beijing, China; State Grid Economic and Technological Research Institute, Beijing, China",IEEE Transactions on Industry Applications,"20 May 2025","2025","61","3","4613","4625","Increasing reliability demand and massive uncertain distributed PV bring new challenges to distribution network development. In this paper, a regional distribution network planning framework is proposed to consider differentiated reliability and probability characteristics of PV and load. Firstly, a robust optimization method for candidate feeder number from substations is introduced by leveraging flexible load rate. Secondly, the rotating center line algorithm is applied in load allocation optimization method. Finally, in view of nonlinear coupling relationship among the number of feeders, reliability cost, and investment, a regional distribution network planning model is formulated. Comparing to the method with fixed feeder number, numerical results demonstrate that the proposed method can divide the power supply range of feeders flexibly, while obtaining planning scheme with the balance of reliability and economy.","1939-9367","","10.1109/TIA.2025.3534163","Tianjin Municipal Science and Technology Program(grant numbers:22JCZDJC00820); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10854892","Balance of reliability and economy;flexible load rate;regional distribution network planning","Reliability;Planning;Costs;Substations;Distribution networks;Investment;Uncertainty;Indexes;Optimization methods;Safety","","6","","23","IEEE","27 Jan 2025","May-June 2025","","IEEE","IEEE Journals"
"Information integration in computerized distribution system planning","E. . -C. Yeh; H. Tram","Automated Distribution Division, ABB Systems Control Company, Inc., Cary, NC, USA; Automated Distribution Division, ABB Systems Control Company, Inc., Cary, NC, USA",IEEE Transactions on Power Systems,"6 Aug 2002","1997","12","2","1008","1013","Electricity distribution planning automation involves a great deal of information, residing in different systems. Information sharing among these systems is essential in improving the efficiency and quality of distribution system planning. This paper presents an integrated solution for computerized distribution planning in a geographic information system (GIS) context, a synergy that magnifies the data accessibility between load forecasting and feeder planning tools, sealing the traditional gap between long-term and short-term distribution system planning. A stochastic cell-based load forecasting algorithm is first developed, followed by an optimal load allocation module, NODESIM, which spatially relates the load growth to the vector-based circuit topology from feeder planning tools. NODESIM enables the multi-year distribution system studies in a GIS context, to best assist utility planners in deciding where and when the customers will grow and how to expand the system facilities to meet the demand growth.","1558-0679","","10.1109/59.589811","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=589811","","Distributed computing;Load forecasting;Geographic Information Systems;Substations;Demand forecasting;Meeting planning;Costs;Predictive models;Samarium;Automatic control","","20","","9","IEEE","6 Aug 2002","May 1997","","IEEE","IEEE Journals"
"Multi-Lateral Participants Decision-Making: A Distribution System Planning Approach With Incomplete Information Game","Y. Liu; N. Yang; B. Dong; L. Wu; J. Yan; X. Shen; C. Xing; S. Liu; Y. Huang","Hubei Provincial Collaborative Innovation Center for New Energy Microgrid, China Three Gorges University, Yichang, China; Hubei Provincial Collaborative Innovation Center for New Energy Microgrid, China Three Gorges University, Yichang, China; State Grid Huangshi Power Supply Company Maintenance Branch, Huangshi, China; Department of Electrical and Computer Engineering, Stevens Institute of Technology, Hoboken, USA; State Grid Hubei Electric Power Company, Wuhan, China; Department of Mechanical Systems Engineering, Tokyo University of Agriculture and Technology, Tokyo, Japan; 6Electric Power Research Institute, Yunnan Power Grid Company, Kunming, China; Hubei Provincial Collaborative Innovation Center for New Energy Microgrid, China Three Gorges University, Yichang, China; Hubei Provincial Collaborative Innovation Center for New Energy Microgrid, China Three Gorges University, Yichang, China",IEEE Access,"21 May 2020","2020","8","","88933","88950","Competition on distributed generation (DG) investments among multiple stakeholders in a distribution system results in incompleteness of market information, in which each stakeholder does not have full knowledge on investment and operation decisions of other participants. It leads to an incomplete information game among multiple stakeholders. This paper discusses a multi-lateral incomplete information game based approach to study distribution system planning while considering both supply and demand sides competitions. Profit models of three types of stakeholders, including DG investors (i.e., DG units are investor-owned), electricity consumers, and the distribution company, are constructed. The interaction among the stakeholders and their gaming behavior are further studied under the context of multi-lateral incomplete information. Bayesian Nash equilibrium form of the multi-lateral incomplete information game is obtained via Harsanyi transformation. An improved co-evolutionary algorithm is adopted to find the Bayesian Nash equilibrium. Simulation results on a modified IEEE 33-bus test system show that, compared with the complete information game method, the proposed approach presents higher expected profits and more accurate planning schemes. Indeed, the proposed approach reflects the realistic planning process of distribution systems under a deregulated competitive environment, and it ensures fairness of competition among self-interested independent stakeholders while guaranteeing their individual performance.","2169-3536","","10.1109/ACCESS.2020.2991181","National Natural Science Foundation of China(grant numbers:51607104); China Scholarship Council; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9081909","Distribution system planning;multi-lateral incomplete information game;Bayesian Nash equilibrium;Harsanyi transformation;co-evolutionary algorithm","Games;Planning;Stakeholders;Capacity planning;Sociology;Statistics;Investment","","29","","40","CCBY","29 Apr 2020","2020","","IEEE","IEEE Journals"
"Robust Optimization-Based Resilient Distribution Network Planning Against Natural Disasters","W. Yuan; J. Wang; F. Qiu; C. Chen; C. Kang; B. Zeng","Department of Industrial and Management Systems Engineering, University of South Florida, Tampa, FL, USA; Energy Systems Division, Argonne National Laboratory, Lemont, IL, USA; Energy Systems Division, Argonne National Laboratory, Lemont, IL, USA; Energy Systems Division, Argonne National Laboratory, Lemont, IL, USA; State Key Laboratory of Power Systems, Tsinghua University, Beijing, China; Department of Industrial Engineering, University of Pittsburgh, Pittsburgh, PA, USA",IEEE Transactions on Smart Grid,"20 May 2017","2016","7","6","2817","2826","Natural disasters such as Hurricane Sandy can seriously disrupt the power grids. To increase the resilience of an electric distribution system against natural disasters, this paper proposes a resilient distribution network planning problem (RDNP) to coordinate the hardening and distributed generation resource allocation with the objective of minimizing the system damage. The problem is formulated as a two-stage robust optimization model. Hardening and distributed generation resource placement are considered in the distribution network planning. A multi-stage and multi-zone based uncertainty set is designed to capture the spatial and temporal dynamics of an uncertain natural disaster as an extension to the traditional N-K contingency approach. The optimal solution of the RDNP yields a resilient distribution system against natural disasters. Our computational studies on the IEEE distribution test systems validate the effectiveness of the proposed model and reveal that distributed generation is critical in increasing the resilience of a distribution system against natural disasters in the form of microgrids.","1949-3061","","10.1109/TSG.2015.2513048","U.S. Department of Energy Office of Electricity Delivery and Energy Reliability; Open Project Program of State Key Laboratory of Power System, Tsinghua University(grant numbers:SKLD14KZ04); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7381672","Natural disaster;microgrid;robust optimization;distribution network planning;resilience;distributed generation","Planning;Robustness;Optimization;Mathematical model;Resilience;Distributed power generation;Games","","575","","33","IEEE","13 Jan 2016","Nov. 2016","","IEEE","IEEE Journals"
"Distribution Grid Impacts of Smart Electric Vehicle Charging From Different Perspectives","E. Veldman; R. A. Verzijlbergh","Asset Management Department, Enexis B.V., Hertogenbosch, The Netherlands; Energy and Industry Group, Delft University of Technology, Delft, The Netherlands",IEEE Transactions on Smart Grid,"18 Dec 2014","2015","6","1","333","342","As a consequence of the developments in electric transportation and the evolution toward smart grids, large-scale deployment of smart charging strategies for electric vehicles (EVs) becomes feasible. This leads to opportunities for different market parties to use the flexibility of EVs for various objectives that may be conflicting and result in a nonoptimal shifting of peak demands for the distribution grids. In this paper, we assess the financial impact of various EV charging strategies on distribution grids. We compare a strategy that minimizes network peak loads (from a network operators perspective) with a strategy to minimize charging costs (from the perspective of a commercial party). In a scenario with a high wind penetration in the system, the electricity prices are, for a significant part, determined by the instantaneous wind production. Therefore, we additionally study the effect of wind energy on electricity prices and, consequently, on the resulting EV load and network impacts. We obtain the network costs by calculating the impacts expressed in the net present value (NPV) of the investments costs and energy losses. We found that, in the case where EVs are basing their charge schedules on electricity prices, the increase in NPV compared with a no EV scenario was found to be 25% higher than in the case where the extra peak load due to EVs was minimized. The large difference in network impacts between the price based and network based charging strategies was only observed in the case with a high wind penetration. The results strongly suggest that the situation where EVs are controlled with a strategy to minimize charging costs that does not take the distribution grids into account may not lead to an optimal situation when the entire electricity delivery system is regarded.","1949-3061","","10.1109/TSG.2014.2355494","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6905855","Electric vehicles (EVs);load management;power distribution system planning;smart grids;Electric vehicles (EVs);load management;power distribution system planning;smart grids","Electricity;Loading;Optimization;Vehicles;Batteries;Smart grids;Energy loss","","325","","20","IEEE","19 Sep 2014","Jan. 2015","","IEEE","IEEE Journals"
"Bibliography of Power Distribution System Planning","",,IEEE Transactions on Power Apparatus and Systems,"26 Feb 2007","1983","PAS-102","6","1778","1787","This paper presents a bibliography of selected references pertaining to electrical power distribution system planning. The references selected are typical and therefore are representative of studies dealing with power distribution system planning.","0018-9510","","10.1109/TPAS.1983.317921","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4112142","","","","13","","","IEEE","26 Feb 2007","June 1983","","IEEE","IEEE Journals"
"Strategic Distribution Network Planning With Smart Grid Technologies","S. Mohtashami; D. Pudjianto; G. Strbac","Department of Electrical and Electronic Engineering, Imperial College London, London, U.K.; Department of Electrical and Electronic Engineering, Imperial College London, London, U.K.; Department of Electrical and Electronic Engineering, Imperial College London, London, U.K.",IEEE Transactions on Smart Grid,"19 Oct 2017","2017","8","6","2656","2664","This paper presents a multiyear distribution network planning optimization model for managing the operation and capacity of distribution systems with significant penetration of distributed generation (DG). The model considers investment in both traditional network and smart grid technologies, including dynamic line rating, quadrature-booster, and active network management, while optimizing the settings of network control devices and, if necessary, the curtailment of DG output taking into account its network access arrangement (firm or non-firm). A set of studies on a 33 kV real distribution network in the U.K. has been carried out to test the model. The main objective of the studies is to evaluate and compare the performance of different investment approaches, i.e., incremental and strategic investment. The studies also demonstrate the ability of the model to determine the optimal DG connection points to reduce the overall system cost. The results of the studies are discussed in this paper.","1949-3061","","10.1109/TSG.2016.2533421","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7436811","Optimal power flow;distribution network planning;smart grid","Investment;Planning;Static VAr compensators;Load modeling;Smart grids;Capacity planning;Optimization","","63","","26","IEEE","18 Mar 2016","Nov. 2017","","IEEE","IEEE Journals"
"Research on Quantifiable Target Index System of Distribution Network Planning for Energy Internet","F. Wang; B. Zhou; J. Hu; C. Ye","State Grid Hubei Electric Power Company Ltd., Wuhan, China; State Grid Hubei Electric Power Company Ltd., Wuhan, China; State Grid Hubei Electric Power Company Ltd., Wuhan, China; PowerChina Hubei Electric Engineering Company Ltd., Wuhan, China",IEEE Access,"11 Oct 2021","2021","9","","136721","136735","In order to improve the guidance and operability of the planning and construction of the distribution network, ensure the safe, reliable and stable operation of the distribution network, and enhance the sustainable development and comprehensive competitiveness of China’s power system. Taking the distribution network planning target indicators as the research object, combined with the characteristics of “energy internet”, this paper constructs a more objective and comprehensive distribution network planning target indicator system facing energy Internet from multiple dimensions. Firstly, the selection principle and application scope of the index system are determined. Secondly, for enterprises, users, equipment, load, benefits and other factors, a quantifiable distribution network planning target index system for energy Internet covering 50 indicators are constructed from the six dimensions of safety and reliability, clean and low-carbon, efficient interaction, ubiquitous interconnection, intelligent openness and economic benefits Finally, an example is given to verify the effectiveness and operability of the planning target index system.","2169-3536","","10.1109/ACCESS.2021.3117979","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9558751","Energy internet;distribution network planning;index system;clean and low carbon;economic performance","Indexes;Distribution networks;Reliability;Planning;Transformers;Voltage","","2","","24","CCBYNCND","4 Oct 2021","2021","","IEEE","IEEE Journals"
